keyword,video_id,title,channel,published,description,views,likes,comments,trend_score,is_dremel
upcycle furniture UK,lPssjH6yivk,Nobody Wanted this Hutch 😢 I had an idea...,Christina Muscari,2024-04-13,This video is sponsored by Beyond Paint. Shop Beyond Paint on AMAZON - https://amzlink.to/az0o0VcZLH,2394107,57563,4497,5.67,False
upcycle furniture UK,2LXW6Y_v8xs,EXTREME furniture RESTORATION,Upcycle Furniture Finds,2025-05-20,"I bought this peice on Facebook marketplace for £50, it was very popular as the guy told me he had m",8012391,213167,3051,5.64,False
furniture flip UK,2LXW6Y_v8xs,EXTREME furniture RESTORATION,Upcycle Furniture Finds,2025-05-20,"I bought this peice on Facebook marketplace for £50, it was very popular as the guy told me he had m",8012391,213167,3051,5.64,False
rotary tool DIY,RBIMFs8LA4o,"Sharp Blades and Smooth Cuts! The EASIEST Way To Sharpen Your Chainsaw Chain Perfectly, Every Time!",Chickanic,2024-01-18,Tired of hand filing your chainsaw chain to end up cutting crooked or not at all? Stop paying repair,3082359,78756,2328,5.62,False
home engraving DIY,Ws9V7KuKpuE,DIY soap bar🧼🤍 #asmr #soapmaking #DIY #DIYsoap #organized #satisfying #organizedhome #giftidea,Yeva Berez,2025-06-04,,24651840,582179,2105,5.43,False
cordless DIY tools UK,2KLCPusFSpU,The Most MISUNDERSTOOD Feature On Your Drill,LRN2DIY,2024-01-27,"You know I love my drills... here are the ins and outs of your drill clutch- learn what not to do, a",7792040,176474,3029,5.41,False
DIY home UK,bw0Cy2LZLi8,How To Cut Vinyl Tiles (No Measuring) #asmr #diy #shorts,The Home Improvements Channel UK,2024-06-24,,57524083,1338315,3743,5.4,False
furniture flip UK,UTVYCFKSCwk,"Another day, another bespoke footstool ✨ #upholstery #footstool",Pucci Upholstery,2025-07-08,,24770675,562132,3901,5.38,False
cordless DIY tools UK,f319mJl-Qt0,"The Laser Gun that Welds, Cuts and Removes Rust!!!",Proper DIY - Tools & Effect,2025-05-07,"When things look too good to be true, beware! All The tools and equipment I use: https://www.amazon.",4327968,75318,10865,5.35,False
DIY craft UK,JldNKJL3wXU,Arguably the most affordable DIY tools 📦,West on Willow,2025-04-04,"My #1 DIY rule: before I cut, drill, or spend, I prototype. Cardboard and tape help test size, funct",60621678,1340737,6673,5.34,False
home engraving DIY,03QRmR1PTNg,Custom Metal Card | Upgrade Plastic Cards into Metal Cards  #cryptocurrency  #crypto #bitcoin,CarbonCraft,2025-06-25,"Welcome to CarbonCraft! At CarbonCraft, we transform ordinary plastic cards into luxurious, premium ",22738877,496549,1712,5.32,False
upcycle furniture UK,0w3uqa_Tgxs,RESTORING a forgotten RARE 1900s Invention,Upcycle Furniture Finds,2025-09-06,I restored a 1900s metamorphic table I found this unique peice on facebook market place and it defin,1335892,25249,1156,5.24,False
DIY craft UK,hEy7V33ukM0,Survival Skills: Easy Firestarters From Cardboard #survival #lifehacks #camping #outdoors,LastBush Survival,2025-09-25,Find the @oknife Aion at: www.oknife.com Easy survival firestarters made with wax and cardboard. Per,209455973,4174419,8341,5.2,False
DIY home UK,StaVM2PifyA,CUTTING IN LIKE A PRO #paintwarrior #youtube #ytshorts #viral #tips,Paint_warrior,2024-01-25,,47396238,909614,11290,5.18,False
rotary tool DIY,An_9NSpJx_w,I Bought Every HART Tool at Walmart,John Malecki Unscrewed,2025-07-20,Thanks to Tecovas for sponsoring this video! Visit https://tecovas.yt.link/HIAc23l and use code UNSC,2166003,36938,1656,5.11,False
rotary tool DIY,nlsmOoPTjLs,Easy Beginner Woodworking projects that sell for High Profit,JASCOgoods,2024-06-29,In this video I describe how I made more than $15K making easy beginner woodworking projects with ju,1732321,27144,2303,5.1,False
upcycle furniture UK,OLRJIF9qNdY,RUINED Cherry extending table RESTORED,Upcycle Furniture Finds,2025-06-10,I restored a veneered cherry extending dining table. So I found this extending dining table on Faceb,43784328,760566,5822,5.06,False
rotary tool DIY,msFhiWH3PW8,This Drill is TINY,TITANS of CNC MACHINING,2025-03-28,,50108473,874524,3037,5.05,False
DIY craft UK,3NtnMeMhtDY,DIY Pencil for Kids! ✏️✨ #craft #kids,4 Friends | Kids Stories,2024-12-31,,44568746,756696,0,5.02,False
rotary tool DIY,iftEz7QmMDc,making homemade rechargeable drill machine #shots #project #experiment #sujanexperiment,sujan experiment,2025-07-06,,2599029,40743,129,4.95,False
rotary tool DIY,mKDrlMJbo9g,The Ultimate Guide To Multitools: Everything You Need To Know,Proper DIY,2024-09-15,"The roughest, most inaccurate power tool on the market can also be one of the biggest lifesavers whe",2156669,32258,888,4.95,False
DIY craft UK,2xQQqVC1P9M,Handmade Survival Craft Skills #diy #craft #youtubeshorts #wood #bamboo #survival,Local Hands,2024-07-13,Handmade Survival Craft Skills #diy #craft #youtubeshorts #wood #bamboo #survival.,206286102,3054040,5111,4.89,False
DIY home UK,9N25hsDUlqE,HOW TO CUT VINYL FLOORING (Toilet WC) #diy #vinyl #howto #shorts,The Home Improvements Channel UK,2025-02-04,,57665328,833939,3803,4.88,False
cordless DIY tools UK,oCv6hQr9a64,Nail Gun High Efficiency High Preference Tools #tools #diycraft #diy #shortsfeed #shorts,Hardware Tools Official,2024-04-07,hardware tools official .video by hardware tools official. Hardware tools encompass a wide range of ,15307226,215645,901,4.85,False
dremel projects,FDqpUe3iGX0,This 15 degree Freud chamfer bit adds a nice touch to projects #freudtoolsambassador #woodworking,The Dusty Lumber Co,2024-06-06,,3126038,40401,262,4.79,False
home engraving DIY,W_lHxcXwtXI,leaves #production process #laser engraving #leaf engraving machine #entrepreneurship,Leaf Carving Machine,2024-10-14,,10975352,142908,258,4.78,False
DIY home UK,g7p7VnuHucQ,Easy way to fix rotten trim boards. #remodel #construction #contractor #diy #carpenter,CR Carpentry & Remodeling ,2025-07-04,,85992458,1051095,8732,4.75,False
upcycle furniture UK,qlnw3bQ1fdI,ROTTEN table RESTORED - A spiders graveyard,Upcycle Furniture Finds,2025-03-22,I restored an old rotten table I found on Facebook marketplace. I picked this console table up on Fa,1958000,22595,992,4.75,False
upcycle furniture UK,TCuQmC5GWd0,Extending table RESTORATION | Veneered or solid?,Upcycle Furniture Finds,2025-06-07,I restored a veneered cherry extending dining table. So I found this extending dining table on Faceb,1063343,12063,561,4.74,False
DIY craft UK,L1ovxJEwAsw,PVC Pipe Hacks You&#39;ll Wish You Knew Sooner #shorts #diy #skills #satisfying,Brave Gals,2025-02-27,Transform ordinary PVC pipes into something truly remarkable with this simple yet amazing hack! If y,29553750,348508,4527,4.73,False
dremel projects,ScLfDtCsebs,"Don&#39;t buy it, build it. 🤯",Dremel,2025-12-03,"Yes, you CAN build your own floating shelves! And it's easier than you think. You just need the righ",5967969,71539,575,4.73,True
home engraving DIY,osoFnv989Uc,$2 DIY Sandblaster 🤯 step by step ⚒️,Oryn,2025-09-06,Ever wondered how a DIY sandblaster works? Here's the trick: air from the compressor rushes through ,15441483,150197,711,4.59,False
dremel projects,1nWtOymGxvQ,There Are MILLIONS to be made from this Business...,Barndo Boy,2024-12-26,"In this video, i show you how to make a phone holder! but its not just a phone holder, its a audio a",2063645,19030,0,4.55,False
furniture flip UK,-bAO7HmSSiY,This Paint Stripping Hack Will Save You HOURS of Work!,Redesign by Bre,2025-02-04,Want to strip paint fast and effortlessly? This paint stripping hack will save you HOURS of work! Th,5488467,42605,450,4.48,False
home engraving DIY,b8TYpuc17kA,DIY Engraving Machine That Works on Almost Anything!,SimpleGhar Hindi,2026-04-10,Engraving Machine - https://amzn.openinapp.co/ai946 #EngravingMachine #DIYTools #MadeInBharat #Craft,45571660,353479,364,4.47,False
home engraving DIY,-F4029HVTIs,Technologia🔥 Get your bat customized with your name engraved !,CD CRICKET ,2025-05-24,If u want to purchase kindly whatsapp us at +917841876266 Engraving your name on a cricket bat offer,27461611,206109,88,4.45,False
cordless DIY tools UK,GC50yqGlzKA,Using the ​⁠@festool-canada  CSC SYS 50 to cut some big walnut tenons for the table base,The Dusty Lumber Co,2025-10-07,,13372078,92713,467,4.42,False
home engraving DIY,RFInm0yalss,How I Made a Real Carbon Fiber iPhone Case at Home,crafter duck - DIY,2025-10-14,"In this video, I show the full process of making a custom carbon fiber iPhone case by hand. From cre",31910717,209774,580,4.4,False
dremel projects,w--o-dhHpDo,You WILL NOT BELIEVE IT!!! But even from this rotten thing you can make a MASTERPIECE. DIY,Makar Wood,2024-10-04,"Hi all!!! Recently, while walking in the forest, I found an interesting rotten place.At first I coul",2251023,13113,640,4.38,False
dremel projects,RR3pNcaFKCM,Turn Your Jigsaw Into a Mini Bandsaw 👍 Genius DIY Tool Hack,ToolerHacks,2025-10-09,Want a bandsaw but only have a jigsaw? Here's a simple DIY trick to turn your jigsaw into a mini ver,31763237,187271,1762,4.36,False
DIY craft UK,97CKtOcn7BU,try this magic 😜 #shorts #trendingshorts #viralshorts #craft #papercraft #diy,Girl Crafts Room,2025-07-24,try this magic #diy #shorts #trendingshorts #viralshorts #craft #papercraft @GirlCraftsRoom12 #girlc,113085015,651672,0,4.35,False
DIY craft UK,AxfayDThoV4,Squid Game 2 emojis 🦑💜 #diy #craft #papercraft #squidgame #squidgame2 #art #cute #crafts #shorts,Oyuncak Şehri Tv,2025-03-25,Squid Game 2 emojis #diy #craft #papercraft #squidgame #squidgame2 #art #cute #crafts #shorts ▻ foll,85541912,401532,916,4.28,False
dremel projects,PfJan3cLvYo,wood turning project that consistently sells everywhere I go,Rc Woodturning,2024-05-05,consistent seller everywhere. This is a wood turning project that sells at every craft show I go to.,4407972,15415,1336,4.25,False
cordless DIY tools UK,eojlZ79nj6Y,Makita Vs BOSCH #automobile #automotivetools #tools #tools4life #powertools,MyTools,2025-06-11,,196987915,454021,6087,4.14,False
cordless DIY tools UK,FE3IM7vCDQs,Protect Your Cordless Drill! A Trick with a Bottle #shorts #tools,Handy Space,2025-08-02,Protect Your Cordless Drill! A Trick with a Bottle Join us as a sponsor and unlock exclusive benefit,28413637,48138,209,4.1,False
furniture flip UK,8qlXAVKXoow,This IKEA hack changed my life! 🤯#DixiebellePartner #ikeahack #ikea #furniture #easydiy,THE FLIPPED PIECE,2024-07-17,Here's everything I used for this project : https://urlgeni.us/amzn/msIJJ *please note I am a Dixieb,3915395,0,1820,4.06,False
furniture flip UK,VCU4SQmIonQ,The brilliant new way people are using Walmart storage cubes in their bedrooms,Hometalk,2024-03-08,"Ever look at those cube organizers and think, ""There's gotta be more to them than just storage?"" Wel",2969469,0,468,4.02,False
cordless DIY tools UK,XLMqL7ieY90,"STIHL MSA 300, the best present under the tree? #stihlchainsaw #stihl #diy #tools #stihlmsa300",P&P Small Engines,2024-12-05,,9291600,0,1093,4.01,False
