keyword,video_id,title,channel,published,description,views,likes,comments,trend_score,is_dremel
cordless DIY tools UK,2KLCPusFSpU,The Most MISUNDERSTOOD Feature On Your Drill,LRN2DIY,2024-01-27,"You know I love my drills... here are the ins and outs of your drill clutch- learn what not to do, a",7792078,176474,3029,5.41,False
DIY craft UK,wziwVGlS0UI,Easy Paper Craft Ideas! Home decor Paper Flowers,VIKI Studio Origami ,2024-08-28,Amazing Paper Flowers DIY Paper Craft Ideas Tutorial #papercraft #diy #foryou #f #usa #paper.,9396134,216609,439,5.39,False
furniture flip UK,UTVYCFKSCwk,"Another day, another bespoke footstool ✨ #upholstery #footstool",Pucci Upholstery,2025-07-08,,24770707,562134,3901,5.38,False
DIY craft UK,uK-95LzA9D0,Outfit from scratch 😱 #dreamcraftswithhina #shorts #dress #diy #craft #handmade #youtubeshorts,Dream crafts with Hina,2025-04-02,,7265848,164857,422,5.37,False
cordless DIY tools UK,f319mJl-Qt0,"The Laser Gun that Welds, Cuts and Removes Rust!!!",Proper DIY - Tools & Effect,2025-05-07,"When things look too good to be true, beware! All The tools and equipment I use: https://www.amazon.",4328001,75319,10866,5.35,False
DIY home UK,kzO8NAaccg8,How To Install Resin Bound #diy #howto #how #shorts,The Home Improvements Channel UK,2024-11-29,,14655237,326168,1346,5.35,False
home engraving DIY,03QRmR1PTNg,Custom Metal Card | Upgrade Plastic Cards into Metal Cards  #cryptocurrency  #crypto #bitcoin,CarbonCraft,2025-06-25,"Welcome to CarbonCraft! At CarbonCraft, we transform ordinary plastic cards into luxurious, premium ",22738889,496549,1712,5.32,False
upcycle furniture UK,0w3uqa_Tgxs,RESTORING a forgotten RARE 1900s Invention,Upcycle Furniture Finds,2025-09-06,I restored a 1900s metamorphic table I found this unique peice on facebook market place and it defin,1335982,25249,1156,5.24,False
DIY craft UK,cPniIGD9ZqM,DIY Wool Skin Makeup😱 #crafteraditi #challenge #diy #craft #woolskinmakeup #shorts @CrafterAditi,Crafter Aditi,2025-04-22,,19330536,348391,9308,5.14,False
DIY craft UK,jbBUX9brlio,WoW! ❄️ Easy Paper Christmas Decorations 2024,VIKI Studio Origami ,2024-10-03,How to make Easy Christmas Paper Snowflakes Christmas Paper Crafts Christmas Decorations Buy me a CO,5132472,95066,323,5.12,False
rotary tool DIY,An_9NSpJx_w,I Bought Every HART Tool at Walmart,John Malecki Unscrewed,2025-07-20,Thanks to Tecovas for sponsoring this video! Visit https://tecovas.yt.link/HIAc23l and use code UNSC,2166062,36938,1656,5.11,False
DIY home UK,qyZm66j8QU4,HOW TO FIX RISING DAMP? #jamesproperty #property,James Property,2024-01-27,,5256875,92902,1971,5.11,False
DIY craft UK,kVAuh4msADw,Try it 😆 #shorts #tonniartandcraft #art #craft #love,Tonni art and craft,2024-11-15,,9886863,179366,539,5.1,False
upcycle furniture UK,OLRJIF9qNdY,RUINED Cherry extending table RESTORED,Upcycle Furniture Finds,2025-06-10,I restored a veneered cherry extending dining table. So I found this extending dining table on Faceb,43786954,760622,5822,5.06,False
rotary tool DIY,msFhiWH3PW8,This Drill is TINY,TITANS of CNC MACHINING,2025-03-28,,50108808,874526,3037,5.05,False
DIY home UK,LvE-4MtaUjc,Make your Own DIY Hydroponic System at Home 🍀☘️| Hydroponics at Home #coriander  #hydroponics #diy,Green Walls,2024-10-24,Hydroponics is a word derived from two Greek words. Hydro means water while panics is a word for har,4163678,65942,330,4.96,False
rotary tool DIY,S9uNZsHqmLs,DC Motors For Making DIY Projects 🔥 #hackerjp #shorts,HACKER JP,2025-09-30,DC Motors For Making DIY Projects #hackerjp #shorts.,5991224,93702,860,4.96,False
rotary tool DIY,mKDrlMJbo9g,The Ultimate Guide To Multitools: Everything You Need To Know,Proper DIY,2024-09-15,"The roughest, most inaccurate power tool on the market can also be one of the biggest lifesavers whe",2156698,32258,888,4.95,False
rotary tool DIY,wTfQ0Yp5M7Q,New DIY Mini Laser Level Project 🔴 | Perfect Straight Lines for Walls and Ceilings,Rodaolok ,2025-09-01,I built a DIY mini laser level ✨  . It's the perfect tool for creating perfectly straight lines on w,135832674,2124013,7985,4.95,False
cordless DIY tools UK,oCv6hQr9a64,Nail Gun High Efficiency High Preference Tools #tools #diycraft #diy #shortsfeed #shorts,Hardware Tools Official,2024-04-07,hardware tools official .video by hardware tools official. Hardware tools encompass a wide range of ,15307291,215645,901,4.85,False
DIY home UK,hewjGe-Et0M,How to Make Slime AT HOME! 😱🧴🧼 DIY Slime Tutorial,It’Sarah 💜,2024-08-02,"How to Make Slime AT HOME! DIY Slime Tutorial In this slime video, I make slime using only household",8306821,112225,1744,4.84,False
DIY craft UK,f1KThjEBFl8,Amazing Transformation of an Old Fridge ♻️ Trash to Treasure 💯 % #diy #craft #recycleoldfridge,Random Crafts UK,2025-07-27,Amazing Transformation of an Old Fridge ♻️ Trash to Treasure % #diy #craft #recycleoldfridge.,8988864,124241,1077,4.84,False
dremel projects,FDqpUe3iGX0,This 15 degree Freud chamfer bit adds a nice touch to projects #freudtoolsambassador #woodworking,The Dusty Lumber Co,2024-06-06,,3126038,40401,262,4.79,False
home engraving DIY,W_lHxcXwtXI,leaves #production process #laser engraving #leaf engraving machine #entrepreneurship,Leaf Carving Machine,2024-10-14,,10975370,142910,258,4.78,False
upcycle furniture UK,qlnw3bQ1fdI,ROTTEN table RESTORED - A spiders graveyard,Upcycle Furniture Finds,2025-03-22,I restored an old rotten table I found on Facebook marketplace. I picked this console table up on Fa,1957988,22595,992,4.75,False
upcycle furniture UK,TCuQmC5GWd0,Extending table RESTORATION | Veneered or solid?,Upcycle Furniture Finds,2025-06-07,I restored a veneered cherry extending dining table. So I found this extending dining table on Faceb,1063343,12063,561,4.74,False
dremel projects,ScLfDtCsebs,"Don&#39;t buy it, build it. 🤯",Dremel,2025-12-03,"Yes, you CAN build your own floating shelves! And it's easier than you think. You just need the righ",5967984,71540,575,4.73,True
home engraving DIY,osoFnv989Uc,$2 DIY Sandblaster 🤯 step by step ⚒️,Oryn,2025-09-06,Ever wondered how a DIY sandblaster works? Here's the trick: air from the compressor rushes through ,15441462,150197,711,4.59,False
DIY home UK,aaMkhwygSMU,My #1 Driveway Hack #shorts #landscaping #driveway #resin #diy #gardenideas #home #renovation #uk,Mark Marshall,2025-03-10,resinmill.,11543066,111958,574,4.59,False
dremel projects,1nWtOymGxvQ,There Are MILLIONS to be made from this Business...,Barndo Boy,2024-12-26,"In this video, i show you how to make a phone holder! but its not just a phone holder, its a audio a",2063645,19030,0,4.55,False
furniture flip UK,-bAO7HmSSiY,This Paint Stripping Hack Will Save You HOURS of Work!,Redesign by Bre,2025-02-04,Want to strip paint fast and effortlessly? This paint stripping hack will save you HOURS of work! Th,5488501,42605,450,4.48,False
home engraving DIY,b8TYpuc17kA,DIY Engraving Machine That Works on Almost Anything!,SimpleGhar Hindi,2026-04-10,Engraving Machine - https://amzn.openinapp.co/ai946 #EngravingMachine #DIYTools #MadeInBharat #Craft,45577727,353603,364,4.47,False
home engraving DIY,-F4029HVTIs,Technologia🔥 Get your bat customized with your name engraved !,CD CRICKET ,2025-05-24,If u want to purchase kindly whatsapp us at +917841876266 Engraving your name on a cricket bat offer,27461632,206109,88,4.45,False
DIY craft UK,PnjBJWUIZfQ,You Won’t Believe These DIY Crafts Exist! 🤯 #HandmadeCrafts,Craft Ideas,2025-10-11,"These are not ordinary crafts — they're next level handmade DIY projects! Stunning results, high-end",20904885,145186,308,4.42,False
cordless DIY tools UK,GC50yqGlzKA,Using the ​⁠@festool-canada  CSC SYS 50 to cut some big walnut tenons for the table base,The Dusty Lumber Co,2025-10-07,,13372375,92716,467,4.42,False
home engraving DIY,RFInm0yalss,How I Made a Real Carbon Fiber iPhone Case at Home,crafter duck - DIY,2025-10-14,"In this video, I show the full process of making a custom carbon fiber iPhone case by hand. From cre",31911036,209782,580,4.4,False
rotary tool DIY,QF87aKhf8yg,Ingenious method to sharpen a knife to razor sharp yourself #shorts #diy #tips #knifeskills,Simple Creative,2025-04-02,Ingenious method to sharpen a knife to razor sharp yourself! DIY equipment. Knife sharpening tips an,37660731,234438,604,4.38,False
dremel projects,w--o-dhHpDo,You WILL NOT BELIEVE IT!!! But even from this rotten thing you can make a MASTERPIECE. DIY,Makar Wood,2024-10-04,"Hi all!!! Recently, while walking in the forest, I found an interesting rotten place.At first I coul",2251032,13114,640,4.38,False
dremel projects,RR3pNcaFKCM,Turn Your Jigsaw Into a Mini Bandsaw 👍 Genius DIY Tool Hack,ToolerHacks,2025-10-09,Want a bandsaw but only have a jigsaw? Here's a simple DIY trick to turn your jigsaw into a mini ver,31763453,187273,1762,4.36,False
DIY craft UK,jtjrHSM4PKI,Paper Soap 🥰 #soap #handwash #ytshorts #diy #craft #moniartanddiy #cute #papercraft#craft#shorts,Moni art And Diy,2025-04-19,,12892083,59652,316,4.28,False
dremel projects,PfJan3cLvYo,wood turning project that consistently sells everywhere I go,Rc Woodturning,2024-05-05,consistent seller everywhere. This is a wood turning project that sells at every craft show I go to.,4407972,15415,1336,4.25,False
cordless DIY tools UK,eojlZ79nj6Y,Makita Vs BOSCH #automobile #automotivetools #tools #tools4life #powertools,MyTools,2025-06-11,,196988778,454025,6087,4.14,False
cordless DIY tools UK,FE3IM7vCDQs,Protect Your Cordless Drill! A Trick with a Bottle #shorts #tools,Handy Space,2025-08-02,Protect Your Cordless Drill! A Trick with a Bottle Join us as a sponsor and unlock exclusive benefit,28413764,48138,209,4.1,False
rotary tool DIY,M1VpJ52OKJA,DIY Rotary Log Splitter – Hardwood Becomes Kindling in Seconds 🔥,Clever solution,2026-05-04,Watch a man attach a homemade spinning drill bit or screw‑cone splitter to a power drill. He jams a ,8413168,10501,4,4.07,False
furniture flip UK,8qlXAVKXoow,This IKEA hack changed my life! 🤯#DixiebellePartner #ikeahack #ikea #furniture #easydiy,THE FLIPPED PIECE,2024-07-17,Here's everything I used for this project : https://urlgeni.us/amzn/msIJJ *please note I am a Dixieb,3915395,0,1820,4.06,False
furniture flip UK,VCU4SQmIonQ,The brilliant new way people are using Walmart storage cubes in their bedrooms,Hometalk,2024-03-08,"Ever look at those cube organizers and think, ""There's gotta be more to them than just storage?"" Wel",2969513,0,468,4.02,False
cordless DIY tools UK,XLMqL7ieY90,"STIHL MSA 300, the best present under the tree? #stihlchainsaw #stihl #diy #tools #stihlmsa300",P&P Small Engines,2024-12-05,,9291660,0,1093,4.01,False
