customer_id,age,purchases_last_year,website_visits_last_month,loyalty_score,avg_order_value_eur,days_since_last_purchase,email_sent,purchased,true_hidden_segment,predicted_if_treated,predicted_if_not_treated,uplift
702,47,1,10,8,44.11,95,0,0,Mixed/Unknown,0.6544339457314943,0.3900095864150781,0.26442435931641617
31,75,4,11,1,34.15,41,1,1,Mixed/Unknown,0.6974054452770417,0.43326615423161347,0.26413929104542827
191,68,3,10,5,74.92,24,0,1,Persuadable,0.75660580356718,0.492536725577708,0.264069077989472
252,66,2,10,4,96.12,5,1,0,Persuadable,0.6426307523737343,0.37884551795828375,0.2637852344154506
493,40,2,12,6,20.85,86,0,1,Persuadable,0.626871288350429,0.36331537697021554,0.2635559113802135
467,72,4,11,4,110.03,41,1,1,Persuadable,0.8138466490205817,0.5513540864118606,0.2624925626087211
478,62,2,11,3,62.41,48,0,0,Mixed/Unknown,0.598431280219125,0.33598873266753243,0.2624425475515925
357,42,1,11,7,29.19,26,1,0,Mixed/Unknown,0.6015019919014328,0.3413414287296387,0.26016056317179415
24,61,4,15,6,65.0,68,1,1,Persuadable,0.9193164591481144,0.6602713255155532,0.2590451336325612
41,64,4,11,4,62.22,20,1,1,Persuadable,0.7619258307614786,0.5049757567798069,0.2569500739816717
499,75,1,8,5,248.57,11,0,1,Mixed/Unknown,0.6299849439907635,0.3738659804468162,0.25611896354394736
124,68,2,10,3,81.95,75,0,0,Mixed/Unknown,0.6016591834489206,0.3476469853120864,0.2540121981368342
393,62,2,11,10,94.6,89,1,1,Persuadable,0.8971305629200873,0.6432106562171299,0.2539199067029574
237,58,1,10,5,26.15,2,1,0,Mixed/Unknown,0.5769567843418483,0.32394226405435994,0.25301452028748833
270,72,3,10,7,108.35,6,1,1,Persuadable,0.8575305696009817,0.6049846014820707,0.25254596811891106
342,41,4,13,8,96.61,50,1,1,Persuadable,0.8477499604572422,0.5953689022709377,0.2523810581863044
183,62,4,12,1,31.03,79,0,0,Mixed/Unknown,0.6338062053080548,0.38146836803190926,0.2523378372761455
667,67,2,9,5,62.97,36,0,0,Mixed/Unknown,0.6587419959199833,0.40672495442146767,0.2520170414985156
272,72,2,8,8,134.7,14,1,1,Mixed/Unknown,0.8004892330058975,0.5487305688112569,0.25175866419464055
165,44,1,9,10,194.89,4,1,1,Mixed/Unknown,0.6912379623722968,0.43980475982571643,0.2514332025465804
15,70,3,9,6,50.19,57,0,1,Mixed/Unknown,0.7762671849983195,0.5275607821130903,0.24870640288522916
619,72,3,10,2,51.71,46,1,1,Mixed/Unknown,0.6301647838962683,0.3819555353725938,0.24820924852367449
542,43,3,11,7,45.7,20,0,1,Persuadable,0.7077886915387689,0.459840760367819,0.24794793117094988
83,71,4,10,4,29.45,3,0,1,Persuadable,0.7713075124694786,0.5237338577536358,0.2475736547158428
689,49,1,11,5,61.47,3,0,0,Mixed/Unknown,0.5448460446218228,0.2978878201738289,0.24695822444799392
431,69,3,9,5,61.26,63,1,1,Mixed/Unknown,0.7216480696505069,0.4764095645381851,0.24523850511232176
279,69,4,10,4,142.12,83,0,1,Persuadable,0.7572617641526177,0.5121093654334153,0.24515239871920236
512,70,4,12,6,6.32,76,0,0,Persuadable,0.8930728430964138,0.6480442758415852,0.24502856725482858
678,54,4,11,6,77.63,57,1,1,Persuadable,0.7821349455179666,0.5374591787337032,0.2446757667842634
554,49,2,9,10,160.69,41,0,0,Mixed/Unknown,0.7716843993364805,0.5277151788943296,0.24396922044215086
475,24,3,14,5,15.52,23,1,1,Persuadable,0.5745705848146098,0.3312034521674863,0.24336713264712345
722,69,4,11,6,80.3,126,1,1,Persuadable,0.8656495027275257,0.6222988582947873,0.24335064443273846
187,53,5,12,4,77.7,2,1,0,Persuadable,0.7634760988518952,0.5220381980457577,0.24143790080613747
672,53,5,12,4,99.04,33,0,1,Persuadable,0.7634760988518952,0.5220381980457577,0.24143790080613747
650,67,2,12,10,37.75,156,0,1,Persuadable,0.9296418113250576,0.6886001460491331,0.24104166527592452
208,72,4,10,2,77.79,67,1,0,Mixed/Unknown,0.6791565686796113,0.4391217851237156,0.2400347835558957
405,50,4,12,8,97.12,23,1,1,Persuadable,0.8638317842155886,0.6243066625458376,0.23952512166975104
647,63,3,9,6,42.01,33,1,1,Mixed/Unknown,0.7253390548902529,0.4868518706937022,0.23848718419655063
389,63,4,10,5,71.37,10,0,1,Persuadable,0.7606371445969893,0.5225532216839368,0.23808392291305247
527,69,3,10,2,38.18,44,0,0,Mixed/Unknown,0.6025133508275554,0.36561015589238405,0.23690319493517137
351,53,3,12,10,31.65,102,1,1,Persuadable,0.9048478804843284,0.6691167369179054,0.235731143566423
295,43,2,9,10,32.95,78,1,0,Mixed/Unknown,0.7278806077957644,0.49282418834315206,0.2350564194526123
665,75,3,8,5,64.74,25,1,1,Mixed/Unknown,0.7243417610676739,0.48934944764753735,0.23499231342013654
514,61,2,11,2,81.95,29,1,1,Mixed/Unknown,0.5268591529010642,0.2919342539658818,0.23492489893518242
446,41,5,13,7,137.86,22,1,1,Persuadable,0.8431209223500632,0.6085515372685464,0.2345693850815168
535,73,4,10,6,52.61,97,1,1,Persuadable,0.8579655934405838,0.6235351623190585,0.23443043112152528
563,56,2,8,10,30.47,43,1,1,Mixed/Unknown,0.7807921658895096,0.546385638709462,0.23440652718004762
80,71,2,8,10,113.1,5,1,1,Mixed/Unknown,0.8647324321766151,0.6307130034850272,0.23401942869158787
598,75,3,8,7,167.26,23,1,1,Mixed/Unknown,0.8131947084629816,0.5794229820932785,0.23377172636970311
774,46,3,11,5,35.79,28,1,1,Persuadable,0.621716782312944,0.38837269871126473,0.2333440836016793
719,45,5,13,7,83.52,59,0,0,Persuadable,0.8626648755185288,0.6304965316045524,0.23216834391397634
666,70,6,13,3,50.86,27,1,1,Mixed/Unknown,0.8828568870869592,0.6517743755551147,0.23108251153184445
731,42,4,11,8,80.74,29,1,1,Persuadable,0.7883573712937687,0.5581783921246589,0.2301789791691098
657,43,5,12,5,52.75,98,1,1,Persuadable,0.737751770969991,0.5092282928456624,0.2285234781243286
676,53,3,9,8,31.47,32,1,1,Mixed/Unknown,0.7476251582045759,0.5193926836533543,0.22823247455122153
407,65,4,10,7,49.61,81,1,0,Persuadable,0.8505551194334726,0.6224235681585133,0.22813155127495932
420,52,0,7,10,86.25,62,1,0,Mixed/Unknown,0.6129837749790767,0.38509989568157865,0.2278838792974981
616,33,4,12,10,117.0,6,0,1,Persuadable,0.8441490673907769,0.6165956195797844,0.22755344781099252
286,50,1,9,7,38.54,204,0,0,Mixed/Unknown,0.5701983768002815,0.34371203654908844,0.22648634025119307
495,68,3,8,6,79.33,18,1,1,Mixed/Unknown,0.7202214190319578,0.49398494181432245,0.22623647721763535
608,36,2,12,5,58.64,138,0,0,Persuadable,0.5275843616613187,0.3024559850686917,0.22512837659262702
277,41,2,12,4,129.93,17,1,1,Persuadable,0.5132487360155116,0.28889906552532874,0.22434967049018284
195,59,2,8,7,101.25,10,1,0,Mixed/Unknown,0.6525032230759021,0.428345855743207,0.22415736733269515
257,40,3,10,8,71.41,197,0,0,Persuadable,0.6898875612279911,0.465760381519555,0.2241271797084361
197,74,3,8,4,70.76,30,0,1,Mixed/Unknown,0.6625566912041482,0.4384646603305679,0.22409203087358026
399,51,4,10,7,58.57,10,1,1,Persuadable,0.7672908843865531,0.5433728552755293,0.22391802911102388
175,66,4,9,5,34.55,111,1,1,Mixed/Unknown,0.7412835702834893,0.5180565194418963,0.223227050841593
134,58,4,11,2,58.85,22,1,0,Mixed/Unknown,0.6045629226394099,0.38159357527318893,0.22296934736622098
622,45,4,11,5,35.91,35,0,0,Persuadable,0.6625825679897376,0.4400624965497914,0.22252007143994618
45,69,4,14,7,66.49,58,0,1,Persuadable,0.9414163936155627,0.7199862795233892,0.2214301140921735
789,53,4,11,3,94.7,24,0,0,Mixed/Unknown,0.6182097239681132,0.39707140971982924,0.221138314248284
693,54,4,10,5,17.91,32,0,0,Persuadable,0.6910963496312125,0.4702239294943203,0.22087242013689218
70,64,3,9,4,79.87,45,1,0,Mixed/Unknown,0.6237020083835005,0.40315448590969327,0.22054752247380727
234,49,2,13,1,124.87,67,0,1,Mixed/Unknown,0.45716493226927857,0.23664508007820956,0.220519852191069
454,59,3,9,10,54.27,66,1,1,Mixed/Unknown,0.8611338170131914,0.6411371544705046,0.2199966625426868
383,65,4,9,7,55.57,1,0,1,Mixed/Unknown,0.8203117573932561,0.6015652678210014,0.21874648957225473
276,55,2,10,4,69.09,184,0,0,Persuadable,0.5393910061810033,0.320705671310952,0.21868533487005132
738,74,3,7,7,40.82,0,1,0,Mixed/Unknown,0.7705485950374459,0.5521270778087325,0.2184215172287134
543,70,4,9,3,64.0,98,1,0,Mixed/Unknown,0.6690331769203687,0.45075107810552456,0.21828209881484412
547,70,3,8,9,76.76,14,0,0,Mixed/Unknown,0.8557890902022158,0.6380750816528039,0.21771400854941192
98,74,6,11,3,80.49,3,1,1,Mixed/Unknown,0.8500168041970774,0.6328016027262136,0.21721520147086382
347,69,3,10,1,60.96,1,0,1,Mixed/Unknown,0.5407959480076012,0.32462379122331575,0.21617215678428547
520,49,5,12,2,92.28,7,1,0,Mixed/Unknown,0.6250556863741715,0.4090428412401606,0.21601284513401092
580,64,5,15,6,66.89,82,0,1,Persuadable,0.9408688430845669,0.7252933920927245,0.2155754509918424
201,45,5,13,1,115.09,45,0,0,Mixed/Unknown,0.5801028221365805,0.36477609307641573,0.21532672906016476
764,63,3,8,6,73.49,72,0,0,Mixed/Unknown,0.6793097071712263,0.4649423372597433,0.21436736991148297
683,52,4,10,9,63.92,23,0,1,Persuadable,0.8502891549802639,0.6365039726625189,0.21378518231774502
9,75,3,8,9,135.12,35,1,0,Mixed/Unknown,0.8782226691669188,0.6645013357320804,0.21372133343483846
352,55,3,8,9,57.35,0,1,0,Mixed/Unknown,0.7677893455231115,0.5542407047044365,0.21354864081867497
508,60,5,10,4,44.99,40,0,0,Persuadable,0.7317999449875231,0.5188552057759603,0.21294473921156276
56,42,4,10,8,17.43,17,1,1,Persuadable,0.7492379001531455,0.536414394968414,0.21282350518473148
8,56,3,8,8,63.97,0,1,1,Mixed/Unknown,0.7275962819347358,0.5148938482804638,0.212702433654272
503,69,3,7,8,44.98,24,1,1,Mixed/Unknown,0.780546456797367,0.5681668533429769,0.2123796034543901
267,49,3,9,7,23.27,24,1,0,Mixed/Unknown,0.6632068665831131,0.4509044502355029,0.2123024163476102
473,30,6,15,8,73.57,85,1,1,Sure Thing,0.8968868045210142,0.6854424245021237,0.21144438001889054
639,57,3,9,5,50.42,18,1,0,Mixed/Unknown,0.6188688968706592,0.4076252477169564,0.21124364915370275
44,72,1,18,10,70.39,50,1,1,Mixed/Unknown,0.9798103188299007,0.7686301558508083,0.21118016297909237
375,65,6,11,4,62.18,20,1,1,Persuadable,0.8370182986196192,0.6262686062474685,0.2107496923721507
694,29,2,10,9,95.33,81,0,0,Persuadable,0.6001549195826207,0.389771005534316,0.2103839140483047
734,53,3,8,10,121.68,40,1,1,Mixed/Unknown,0.7974266831260507,0.5872883995491318,0.21013828357691888
34,42,0,9,8,97.62,14,0,0,Mixed/Unknown,0.5015382075427781,0.29151088711308637,0.21002732042969174
440,48,3,10,5,289.36,69,1,0,Persuadable,0.5876658762193668,0.3786095275997084,0.20905634861965844
733,38,5,12,9,94.53,12,0,0,Persuadable,0.8640051254944716,0.6562315085164562,0.20777361697801544
120,61,1,9,4,95.67,28,0,0,Mixed/Unknown,0.4885936666682963,0.2818635076593775,0.20673015900891878
643,46,6,12,6,25.2,13,1,1,Persuadable,0.834887095868939,0.6282679135990695,0.20661918226986953
148,61,4,10,9,36.67,0,0,1,Persuadable,0.8897114137698293,0.6834650408930207,0.20624637287680858
794,71,3,9,10,62.42,66,1,1,Mixed/Unknown,0.9082656877412985,0.702590136357727,0.2056755513835714
502,66,1,9,3,102.02,27,0,0,Mixed/Unknown,0.474253918404196,0.2688738180059485,0.2053801003982475
320,33,6,14,8,39.05,1,1,1,Sure Thing,0.8869117629656734,0.6815449197450935,0.20536684322057996
506,32,5,13,10,87.09,182,0,1,Persuadable,0.8897227705384021,0.6848667845366372,0.2048559860017649
578,45,6,14,7,47.18,11,1,1,Persuadable,0.9067918114876559,0.7023959171764744,0.20439589431118144
211,56,5,10,7,61.44,0,1,1,Persuadable,0.8327174716283059,0.6287498740514309,0.203967597576875
76,57,4,9,9,131.13,95,1,1,Mixed/Unknown,0.8470085985058177,0.6430818537390367,0.20392674476678097
290,46,0,9,7,107.28,93,0,1,Mixed/Unknown,0.4774450264837471,0.27359785353786104,0.20384717294588606
466,59,6,11,5,72.03,33,0,0,Persuadable,0.8395196616563163,0.6360056797615374,0.20351398189477887
425,66,5,9,4,47.14,28,0,1,Mixed/Unknown,0.7344315473439363,0.5317770630122554,0.20265448433168098
590,65,4,15,8,100.9,31,0,1,Persuadable,0.956638977743296,0.7541068802468563,0.20253209749643963
724,75,2,7,4,27.52,3,0,1,Mixed/Unknown,0.5686205530377343,0.36621220568070034,0.20240834735703395
380,20,4,11,10,99.53,156,1,1,Persuadable,0.7235291702302608,0.521144221247387,0.20238494898287374
264,70,4,8,4,27.25,194,1,0,Mixed/Unknown,0.6760583842781005,0.47402687802040605,0.20203150625769445
695,66,3,7,10,63.65,60,1,1,Mixed/Unknown,0.8397919100319279,0.6381976110049846,0.20159429902694326
74,53,4,10,10,73.59,63,1,1,Persuadable,0.8837327861876612,0.6824402809427924,0.20129250524486875
46,74,3,6,8,35.61,52,1,1,Mixed/Unknown,0.776140004190494,0.5751559604069812,0.20098404378351276
522,47,4,9,8,117.41,4,1,1,Mixed/Unknown,0.7444086495106432,0.5435045084556794,0.2009041410549638
445,63,5,9,5,33.46,19,1,1,Mixed/Unknown,0.7599946085672107,0.5594541015858706,0.20054050698134007
465,46,5,13,9,144.97,19,1,1,Persuadable,0.9153976248011186,0.7151727485103172,0.20022487629080143
541,54,3,9,5,25.2,19,1,1,Mixed/Unknown,0.5909211603406284,0.3908761007631294,0.20004505957749896
299,49,4,9,7,79.25,1,0,1,Mixed/Unknown,0.7098370340648562,0.5098767601839556,0.19996027388090065
792,36,5,13,10,63.31,21,0,1,Persuadable,0.9041212891695299,0.7046101532953961,0.19951113587413383
624,44,3,8,10,130.07,110,1,1,Mixed/Unknown,0.7348483145811329,0.5357507475433889,0.19909756703774395
609,75,3,8,10,59.69,20,1,1,Mixed/Unknown,0.9027452931579522,0.7036887677968571,0.19905652536109508
61,43,6,12,7,72.43,54,0,0,Persuadable,0.852719633297145,0.6539528785270289,0.19876675477011607
519,62,3,15,10,82.76,211,1,1,Persuadable,0.9631983759835391,0.7644587278891151,0.19873964809442402
110,58,2,6,10,42.5,24,1,0,Mixed/Unknown,0.7124414578147484,0.514227292359145,0.19821416545560344
428,48,5,12,9,74.29,121,1,1,Persuadable,0.9036869561034259,0.7066864017580451,0.19700055434538077
336,52,4,9,10,59.55,59,1,0,Mixed/Unknown,0.8543048118616168,0.6578826349330215,0.19642217692859532
767,59,3,7,8,131.4,201,1,1,Mixed/Unknown,0.7066016750779769,0.5103925979155156,0.19620907716246128
215,44,3,9,7,51.48,63,0,0,Mixed/Unknown,0.6183756064805136,0.4222809685547662,0.19609463792574738
439,59,5,9,6,43.06,25,1,1,Mixed/Unknown,0.7771412511503701,0.5811105463247752,0.19603070482559493
346,41,4,13,1,77.14,55,0,0,Mixed/Unknown,0.48756600570714775,0.29227865127685276,0.195287354430295
305,56,4,8,8,65.81,81,1,1,Mixed/Unknown,0.7684243909332098,0.5734942882739508,0.19493010265925903
366,52,2,9,5,78.14,101,1,1,Mixed/Unknown,0.5181960917595172,0.3259148797778573,0.19228121198165987
461,60,6,10,3,25.9,41,0,0,Mixed/Unknown,0.7247900012652342,0.532573527148871,0.19221647411636322
192,39,3,10,6,140.69,8,1,1,Persuadable,0.5636034832472816,0.37204191590401847,0.19156156734326313
310,45,1,8,8,150.65,0,1,1,Mixed/Unknown,0.5298649876453057,0.3385987780581267,0.19126620958717894
771,75,4,7,8,233.87,58,0,1,Mixed/Unknown,0.8481003656647971,0.6571422184070654,0.19095814725773164
43,61,5,10,8,40.18,19,1,1,Persuadable,0.8861868987141549,0.6952466937019827,0.19094020501217224
521,69,4,7,6,92.25,13,0,0,Mixed/Unknown,0.7273117702898112,0.5369055743961603,0.19040619589365093
427,70,3,6,7,78.09,20,1,0,Mixed/Unknown,0.6973992691672632,0.5070726338664175,0.1903266353008457
553,51,3,8,7,162.49,53,1,1,Mixed/Unknown,0.6306720802603646,0.4407019779651976,0.18997010229516698
660,51,3,8,7,104.38,99,0,0,Mixed/Unknown,0.6306720802603646,0.4407019779651976,0.18997010229516698
607,75,6,11,5,24.95,64,0,1,Persuadable,0.9070829602319034,0.7171865279480654,0.189896432283838
747,75,6,11,5,61.65,53,1,1,Persuadable,0.9070829602319034,0.7171865279480654,0.189896432283838
236,41,5,10,9,38.69,6,1,1,Persuadable,0.8212641600869169,0.631968743679487,0.18929541640742997
233,71,4,8,9,25.17,25,0,1,Mixed/Unknown,0.884598190519565,0.6956838772472193,0.18891431327234576
759,75,2,5,7,77.76,18,1,1,Mixed/Unknown,0.6439219606135688,0.4551971110449649,0.18872484956860386
662,58,3,10,2,35.01,73,0,1,Mixed/Unknown,0.49675978375061675,0.3084927136484706,0.18826707010214616
711,66,2,6,7,104.06,20,1,1,Mixed/Unknown,0.6134890307497051,0.4252258939566291,0.188263136793076
422,54,2,8,6,92.7,2,0,0,Mixed/Unknown,0.545548546221742,0.357436056752191,0.188112489469551
604,69,6,9,3,10.16,70,1,0,Mixed/Unknown,0.7500301334514303,0.5627036369947499,0.18732649645668042
11,40,3,11,4,87.56,22,0,1,Persuadable,0.5026224066876324,0.3153241741255836,0.18729823256204875
127,52,4,9,5,22.45,90,1,1,Mixed/Unknown,0.6240479954173181,0.43692242095383854,0.1871255744634796
783,69,5,8,4,25.2,52,0,1,Mixed/Unknown,0.7137564953941598,0.5272886467672229,0.18646784862693688
353,57,1,9,4,5.02,88,0,0,Mixed/Unknown,0.44976992116287473,0.26340285448643125,0.18636706667644348
674,38,3,8,10,9.42,26,0,1,Mixed/Unknown,0.686845219641903,0.5008919380586775,0.18595328158322555
505,23,2,10,9,22.91,19,1,0,Persuadable,0.5429340083342455,0.35710430848559055,0.185829699848655
222,23,4,10,10,11.95,3,0,1,Persuadable,0.7023493365527901,0.5166465235242771,0.185702813028513
251,34,4,9,10,38.13,6,1,1,Mixed/Unknown,0.7440106328893319,0.5584400927794727,0.18557054010985918
515,22,5,11,9,52.86,81,0,0,Persuadable,0.7319605829892467,0.5464183400377451,0.18554224295150157
463,65,3,9,2,37.06,15,0,1,Mixed/Unknown,0.509868940392114,0.32474013635210186,0.18512880404001208
180,54,5,10,9,114.66,25,0,1,Persuadable,0.8840986163194761,0.6991621724543251,0.18493644386515096
42,68,7,10,2,98.11,46,1,0,Mixed/Unknown,0.7764080083409244,0.5918795474889844,0.18452846085193997
32,39,2,8,9,141.44,9,1,1,Mixed/Unknown,0.5878361818407998,0.4034312542701211,0.18440492757067867
403,45,5,13,10,59.07,23,0,0,Persuadable,0.9305265233471156,0.7462797415382803,0.18424678180883536
489,45,2,9,6,53.37,23,0,1,Mixed/Unknown,0.5130658283099389,0.3300026901687622,0.18306313814117664
534,34,3,11,5,141.01,34,1,1,Persuadable,0.5072345420637719,0.324423412810035,0.18281112925373694
268,23,4,13,4,11.03,9,1,1,Persuadable,0.5014012867196903,0.3188935666137831,0.1825077201059072
232,32,3,10,7,46.44,47,1,0,Persuadable,0.5585448223887003,0.3763852351940895,0.18215958719461078
111,46,4,8,9,21.9,2,1,1,Mixed/Unknown,0.7430571194459904,0.5609034920194138,0.1821536274265766
116,24,7,13,5,103.98,7,0,1,Persuadable,0.7206970743303371,0.5388001453076761,0.18189692902266108
284,65,4,11,10,191.78,3,0,1,Persuadable,0.9380028992114058,0.7562492780702056,0.1817536211412002
513,61,4,13,10,113.34,36,1,1,Persuadable,0.952650836298255,0.771150357245519,0.18150047905273603
709,30,2,9,9,5.0,117,0,0,Mixed/Unknown,0.5559156208461785,0.3745253234262561,0.1813902974199224
314,40,5,10,6,43.02,31,0,0,Persuadable,0.6745288741172335,0.49321827676980606,0.18131059734742744
602,53,3,7,8,182.92,56,1,0,Mixed/Unknown,0.6558795233014105,0.4754938253394494,0.18038569796196113
149,57,3,7,7,111.26,4,0,1,Mixed/Unknown,0.6337994127208366,0.45351205268994776,0.18028736003088885
367,33,6,11,8,98.37,30,0,1,Sure Thing,0.8018783473023353,0.6218272635071731,0.18005108379516221
214,74,4,6,8,51.83,68,1,1,Mixed/Unknown,0.8115765237098959,0.6316840686241668,0.17989245508572904
704,66,3,6,7,199.81,26,0,0,Mixed/Unknown,0.6635102848465694,0.4837988318721944,0.17971145297437496
5,60,2,7,6,78.81,27,1,1,Mixed/Unknown,0.5488810898683246,0.36942446578100435,0.17945662408732027
22,19,5,11,9,165.15,15,0,1,Persuadable,0.7083982205091437,0.5290596417322243,0.1793385787769194
29,50,6,10,7,51.94,5,0,1,Persuadable,0.8303393532751145,0.6510611783833632,0.17927817489175135
740,62,3,6,8,82.15,18,0,0,Mixed/Unknown,0.6846901912244966,0.5058896616546947,0.17880052956980186
219,58,6,10,2,71.25,54,0,0,Mixed/Unknown,0.6542928166141962,0.4756223738285783,0.17867044278561794
388,39,5,10,6,49.54,39,0,1,Persuadable,0.6659110787150162,0.4874005418746628,0.1785105368403534
786,42,4,8,10,75.11,50,1,1,Mixed/Unknown,0.761033340811917,0.5825418528249242,0.17849148798699277
644,30,5,12,4,52.91,111,1,0,Persuadable,0.5683253149481982,0.3900198351477109,0.17830547980048728
1,56,5,9,4,62.13,72,0,0,Mixed/Unknown,0.6518784489091756,0.4736445325023509,0.17823391640682468
106,41,1,11,4,233.23,27,1,0,Mixed/Unknown,0.4050497785196822,0.2270362091925529,0.1780135693271293
684,65,3,7,5,93.77,117,0,0,Mixed/Unknown,0.5879950716469141,0.4101695256680754,0.1778255459788387
492,49,8,12,2,105.67,34,1,0,Mixed/Unknown,0.761693599118035,0.5845946612337848,0.17709893788425024
315,48,3,7,9,33.47,33,0,1,Mixed/Unknown,0.6687257690037156,0.4917517112491051,0.1769740577546105
537,45,5,9,7,36.79,21,0,0,Mixed/Unknown,0.7222400341559602,0.5456033090947341,0.17663672506122607
576,46,4,8,8,93.56,51,1,0,Mixed/Unknown,0.6920067831930152,0.5158253986949448,0.17618138449807041
37,59,2,5,10,125.22,2,0,0,Mixed/Unknown,0.6738747089332751,0.498087008852708,0.17578770008056704
360,46,5,10,4,70.18,17,1,1,Persuadable,0.6125133051723517,0.43770962677758485,0.17480367839476685
377,73,5,7,7,24.89,5,0,0,Mixed/Unknown,0.8329066527280578,0.6590463091532525,0.1738603435748053
798,43,2,9,6,84.72,52,1,0,Mixed/Unknown,0.49357327008878527,0.319790926298419,0.17378234379036628
464,56,7,13,6,53.65,24,1,1,Persuadable,0.9204194567769813,0.7468682031771375,0.1735512535998438
323,74,5,9,8,177.63,70,0,1,Mixed/Unknown,0.9120368821924547,0.7387625802055524,0.1732743019869023
300,24,5,12,5,128.03,123,0,1,Persuadable,0.5728459708645394,0.40001523375786574,0.17283073710667363
226,54,5,10,10,90.96,7,0,0,Persuadable,0.9075625289579811,0.7359100774466258,0.17165245151135522
19,20,2,12,6,74.7,101,0,0,Persuadable,0.4351135534281255,0.2637433847541271,0.1713701686739984
526,57,3,9,3,136.0,67,1,1,Mixed/Unknown,0.49498711905056014,0.32370319610031206,0.17128392295024808
742,59,5,8,5,23.64,16,1,1,Mixed/Unknown,0.6848567431882562,0.5144885875328744,0.17036815565538177
128,52,1,10,3,81.79,117,1,1,Mixed/Unknown,0.3944941649641772,0.22471345390121203,0.1697807110629652
501,39,2,7,10,148.4,1,0,0,Mixed/Unknown,0.5955429705152029,0.426159455196633,0.16938351531856988
787,62,8,11,3,23.66,24,0,1,Mixed/Unknown,0.8456366881787906,0.6765482200135549,0.1690884681652357
706,65,5,7,7,26.35,60,0,1,Mixed/Unknown,0.7848968712236116,0.616048052938019,0.16884881828559262
