keyword,video_id,title,channel,published,description,views,likes,comments,trend_score,is_dremel
upcycle furniture UK,qlnw3bQ1fdI,ROTTEN table RESTORED - A spiders graveyard,Upcycle Furniture Finds,2025-03-22,I restored an old rotten table I found on Facebook marketplace. I picked this console table up on Fa,1957996,22595,992,4.75,False
upcycle furniture UK,TCuQmC5GWd0,Extending table RESTORATION | Veneered or solid?,Upcycle Furniture Finds,2025-06-07,I restored a veneered cherry extending dining table. So I found this extending dining table on Faceb,1063342,12063,561,4.74,False
dremel projects,ScLfDtCsebs,"Don&#39;t buy it, build it. 🤯",Dremel,2025-12-03,"Yes, you CAN build your own floating shelves! And it's easier than you think. You just need the righ",5967963,71539,575,4.73,True
home engraving DIY,osoFnv989Uc,$2 DIY Sandblaster 🤯 step by step ⚒️,Oryn,2025-09-06,Ever wondered how a DIY sandblaster works? Here's the trick: air from the compressor rushes through ,15441480,150197,711,4.59,False
dremel projects,1nWtOymGxvQ,There Are MILLIONS to be made from this Business...,Barndo Boy,2024-12-26,"In this video, i show you how to make a phone holder! but its not just a phone holder, its a audio a",2063645,19030,0,4.55,False
rotary tool DIY,BKTwBLAo-ow,https://amzn.to/4m8SdNz These things are sweet. #cardboard #multitool #tools #dewalt #recycle,Watch Ben Build,2025-09-11,,7788092,59217,2089,4.49,False
furniture flip UK,-bAO7HmSSiY,This Paint Stripping Hack Will Save You HOURS of Work!,Redesign by Bre,2025-02-04,Want to strip paint fast and effortlessly? This paint stripping hack will save you HOURS of work! Th,5488456,42605,450,4.48,False
home engraving DIY,b8TYpuc17kA,DIY Engraving Machine That Works on Almost Anything!,SimpleGhar Hindi,2026-04-10,Engraving Machine - https://amzn.openinapp.co/ai946 #EngravingMachine #DIYTools #MadeInBharat #Craft,45570580,353460,364,4.47,False
home engraving DIY,-F4029HVTIs,Technologia🔥 Get your bat customized with your name engraved !,CD CRICKET ,2025-05-24,If u want to purchase kindly whatsapp us at +917841876266 Engraving your name on a cricket bat offer,27461600,206109,88,4.45,False
cordless DIY tools UK,GC50yqGlzKA,Using the ​⁠@festool-canada  CSC SYS 50 to cut some big walnut tenons for the table base,The Dusty Lumber Co,2025-10-07,,13371930,92712,467,4.42,False
rotary tool DIY,X5xjTYz4Kb4,Save time and money with the SharpTool2.0!,SharpTools,2025-10-14,Multitool blade sharpener! #multitool #sharpening #tools #diy.,30904956,212747,1587,4.42,False
home engraving DIY,RFInm0yalss,How I Made a Real Carbon Fiber iPhone Case at Home,crafter duck - DIY,2025-10-14,"In this video, I show the full process of making a custom carbon fiber iPhone case by hand. From cre",31910593,209774,580,4.4,False
rotary tool DIY,QF87aKhf8yg,Ingenious method to sharpen a knife to razor sharp yourself #shorts #diy #tips #knifeskills,Simple Creative,2025-04-02,Ingenious method to sharpen a knife to razor sharp yourself! DIY equipment. Knife sharpening tips an,37660729,234438,604,4.38,False
dremel projects,w--o-dhHpDo,You WILL NOT BELIEVE IT!!! But even from this rotten thing you can make a MASTERPIECE. DIY,Makar Wood,2024-10-04,"Hi all!!! Recently, while walking in the forest, I found an interesting rotten place.At first I coul",2251018,13113,640,4.38,False
dremel projects,RR3pNcaFKCM,Turn Your Jigsaw Into a Mini Bandsaw 👍 Genius DIY Tool Hack,ToolerHacks,2025-10-09,Want a bandsaw but only have a jigsaw? Here's a simple DIY trick to turn your jigsaw into a mini ver,31763174,187271,1762,4.36,False
DIY craft UK,97CKtOcn7BU,try this magic 😜 #shorts #trendingshorts #viralshorts #craft #papercraft #diy,Girl Crafts Room,2025-07-24,try this magic #diy #shorts #trendingshorts #viralshorts #craft #papercraft @GirlCraftsRoom12 #girlc,113084971,651672,0,4.35,False
DIY craft UK,AxfayDThoV4,Squid Game 2 emojis 🦑💜 #diy #craft #papercraft #squidgame #squidgame2 #art #cute #crafts #shorts,Oyuncak Şehri Tv,2025-03-25,Squid Game 2 emojis #diy #craft #papercraft #squidgame #squidgame2 #art #cute #crafts #shorts ▻ foll,85541902,401532,916,4.28,False
dremel projects,PfJan3cLvYo,wood turning project that consistently sells everywhere I go,Rc Woodturning,2024-05-05,consistent seller everywhere. This is a wood turning project that sells at every craft show I go to.,4407972,15415,1336,4.25,False
cordless DIY tools UK,FE3IM7vCDQs,Protect Your Cordless Drill! A Trick with a Bottle #shorts #tools,Handy Space,2025-08-02,Protect Your Cordless Drill! A Trick with a Bottle Join us as a sponsor and unlock exclusive benefit,28413637,48138,209,4.1,False
rotary tool DIY,M1VpJ52OKJA,DIY Rotary Log Splitter – Hardwood Becomes Kindling in Seconds 🔥,Clever solution,2026-05-04,Watch a man attach a homemade spinning drill bit or screw‑cone splitter to a power drill. He jams a ,8401497,10479,4,4.07,False
furniture flip UK,8qlXAVKXoow,This IKEA hack changed my life! 🤯#DixiebellePartner #ikeahack #ikea #furniture #easydiy,THE FLIPPED PIECE,2024-07-17,Here's everything I used for this project : https://urlgeni.us/amzn/msIJJ *please note I am a Dixieb,3915395,0,1820,4.06,False
furniture flip UK,VCU4SQmIonQ,The brilliant new way people are using Walmart storage cubes in their bedrooms,Hometalk,2024-03-08,"Ever look at those cube organizers and think, ""There's gotta be more to them than just storage?"" Wel",2969463,0,468,4.02,False
cordless DIY tools UK,XLMqL7ieY90,"STIHL MSA 300, the best present under the tree? #stihlchainsaw #stihl #diy #tools #stihlmsa300",P&P Small Engines,2024-12-05,,9291595,0,1093,4.01,False
